,name,album,artists,year,release_date
,Tryin to Say,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,P.C.B. 98,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,I Could Have Had You,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,"Walk Among the Cobras, Pt. 1",Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,"Cobras, Pt. 2",Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,"Cobras, Pt. 3",Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Place to Call My Home,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Love Is Crimson,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,"Leeches, Pt. 1",Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Lonely Hearts,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Metropolis,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Auto Pilot,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Romance,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,Got That Feeling,Dan Sartain Vs The Serpientes,Dan Sartain,2003,2003
,On the Line,On the Line,Tom Butler,2014,2014-05-13
,Alone,On the Line,Tom Butler,2014,2014-05-13
,Before the Fall,On the Line,Tom Butler,2014,2014-05-13
,Boats,On the Line,Tom Butler,2014,2014-05-13
,Conga,Greatest Hits,"Gloria Estefan, Miami Sound Machine",1985,1985
,Words Get in the Way,Greatest Hits,Gloria Estefan,1985,1985
,Cant Stay Away from You,Greatest Hits,"Gloria Estefan, Miami Sound Machine",1985,1985
,"1,2,3 - Remix",Greatest Hits,Gloria Estefan,1985,1985
,Rhythm Is Gonna Get You,Greatest Hits,"Gloria Estefan And Miami Sound Machine, Miami Sound Machine",1985,1985
,Anything for You,Greatest Hits,"Gloria Estefan, Miami Sound Machine",1985,1985
,Here We Are,Greatest Hits,Gloria Estefan,1985,1985
,Get On Your Feet,Greatest Hits,Gloria Estefan,1985,1985
,Dont Wanna Lose You,Greatest Hits,Gloria Estefan,1985,1985
,Coming Out Of The Dark,Greatest Hits,Gloria Estefan,1985,1985
,Christmas Through Your Eyes,Greatest Hits,Gloria Estefan,1985,1985
,I See Your Smile,Greatest Hits,Gloria Estefan,1985,1985
,Go Away,Greatest Hits,Gloria Estefan,1985,1985
,Always Tomorrow,Greatest Hits,Gloria Estefan,1985,1985
,It Came From The Ground,It Came from the Ground,Badly Drawn Boy,1999,1999-03-29
,Walkman Demo 1,It Came from the Ground,Badly Drawn Boy,1999,1999-03-29
,Outside Is A Light 1,It Came from the Ground,Badly Drawn Boy,1999,1999-03-29
,Outside Is A Light 2,It Came from the Ground,Badly Drawn Boy,1999,1999-03-29
,Walkman Demo 2,It Came from the Ground,Badly Drawn Boy,1999,1999-03-29
,It Came From The Ground - Andy Votel Remix,It Came from the Ground,"Badly Drawn Boy, Andy Votel",1999,1999-03-29
,Dale Palo,PALO! Live,PALO!,2014,2014-02-16
,La Malanga Resbala,PALO! Live,PALO!,2014,2014-02-16
,Fumando,PALO! Live,PALO!,2014,2014-02-16
,Mi Proteccion (Live),PALO! Live,PALO!,2014,2014-02-16
,Crescencio (Live),PALO! Live,PALO!,2014,2014-02-16
,Lengua Larga (Live),PALO! Live,PALO!,2014,2014-02-16
,Camina Con Los Codos (Live),PALO! Live,PALO!,2014,2014-02-16
,Tabaco Y Ron Pa mi Santa (Live),PALO! Live,PALO!,2014,2014-02-16
,Pa chango (Live),PALO! Live,PALO!,2014,2014-02-16
,El Festin De Santiago,PALO! Live,PALO!,2014,2014-02-16
,Mettle,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Recover,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Resolve,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Raise for Z,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Les Lilas,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Brilliant Corners,The Colour of Intention,"Lewis Wright, Matt Brewer, Marcus Gilmore",2020,2020-12-04
,Eorche2,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Vaktaan,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Vcs-3,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Masterpiece,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,D Drone,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Billiej.,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,AquaCave,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,4567 Down!,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Cloaked,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Lateprod1,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Interlude,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,The Thought Had Crossed My Mind,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,E Drone,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Cheap Unleaded,Instrumentals And Oddities,Garrett N.,2008,2008-01-16
,Higher Than A Skyscraper - Original,Higher Than A Skyscraper,Hybrid,2004,2004-02-08
,Higher Than A Skyscraper - Hybrid Twitch & Sweat Mix,Higher Than A Skyscraper,Hybrid,2004,2004-02-08
,Higher Than A Skyscraper - Freq Nastys Ragga Rock Relic,Higher Than A Skyscraper,"Hybrid, Freq Nasty",2004,2004-02-08
,Higher Than A Skyscraper - Orbs Towers of Babel Mix,Higher Than A Skyscraper,"Hybrid, The Orb",2004,2004-02-08
,Higher Than A Skyscraper - Satoshi Tomie Mix,Higher Than A Skyscraper,"Hybrid, Satoshi Tomie",2004,2004-02-08
,This Is What It Means - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,True To Form - Original,Morning Sci - Fi,"Hybrid, Peter Hook",2003,2003-09-15
,Know Your Enemy - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Marrakech - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Im Still Awake - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Visible Noise - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,We Are In Control - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Higher Than A Skyscraper - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Steal You Away - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Gravastar - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Out Of The Dark - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Blackout - Original,Morning Sci - Fi,"Hybrid, Kirsty Hawkshaw",2003,2003-09-15
,Lights Go Down Knives Come Out - Original,Morning Sci - Fi,Hybrid,2003,2003-09-15
,Late April Rain,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Euladras Time,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Out of Touch,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,In the Dark,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Walkin Time,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Wrong Side Dream,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Memory Hill,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Story Man,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Another,Memory Hill - canceled,Dave Gerard,1996,1996-01-01
,Man on a Wire,Better Angels - EP,Mike Meehan and the Lucky Ones,2017,2017-09-18
,Better Angels,Better Angels - EP,Mike Meehan and the Lucky Ones,2017,2017-09-18
,Ghost Beneath the Lonesome View,Better Angels - EP,Mike Meehan and the Lucky Ones,2017,2017-09-18
,Swan Song,Better Angels - EP,Mike Meehan and the Lucky Ones,2017,2017-09-18
,Mirabel,Better Angels - EP,Mike Meehan and the Lucky Ones,2017,2017-09-18
,Chattanooga Choo Choo,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Coast to Coast,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Way Down Texas Way,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,String Of Pars,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Blowin Like A Bandit,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,House of Blue Lights,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Boogie Back to Texas,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Tulsa Straight Ahead,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Choo Choo ChBoogie,The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Dont Ask Me Why (Im Going To Texas),The Swingin Best Of Asleep At The Wheel,Asleep At The Wheel,1974,1974
,Bad Habit,Bad Habit,Madilyn Bailey,2012,2012-05-02
,One Minute,Bad Habit,Madilyn Bailey,2012,2012-05-02
,Crescent of the Moon,Bad Habit,Madilyn Bailey,2012,2012-05-02
,If I Had My Way,Bad Habit,Madilyn Bailey,2012,2012-05-02
,Looks Like Love,Bad Habit,Madilyn Bailey,2012,2012-05-02
,Lights and Fences,Cascadia,Noe Venable,2014,2014-08-05
,Sorrows Ending,Cascadia,Noe Venable,2014,2014-08-05
,Goldenrod,Cascadia,Noe Venable,2014,2014-08-05
,The Hidden Word,Cascadia,Noe Venable,2014,2014-08-05
,Water Carves the Mountain,Cascadia,Noe Venable,2014,2014-08-05
,Song for Dan,Cascadia,Noe Venable,2014,2014-08-05
,Honey of Experience,Cascadia,Noe Venable,2014,2014-08-05
,Feather and the Quill,Cascadia,Noe Venable,2014,2014-08-05
,Antlers,Cascadia,Noe Venable,2014,2014-08-05
,Spirit House,Cascadia,Noe Venable,2014,2014-08-05
,Fathering Sun,Cascadia,Noe Venable,2014,2014-08-05
,I Was Unnamed,Cascadia,Noe Venable,2014,2014-08-05
,You Dont Know Who You Are...,You Dont Know Who You Are...,Yoe Mase,2020,2020-11-27
,Subterranean Homesick Blues,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,She Belongs to Me,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Maggies Farm,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Love Minus Zero,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Outlaw Blues,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,On the Road Again,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Bob Dylans 115th Dream,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Mr. Tambourine Man,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,Gates of Eden,Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,"Its Alright, Ma (Im Only Bleeding)",Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,"Its All over Now, Baby Blue",Bringing It All Back Home,Bob Dylan,1965,1965-03-22
,One Voice,Gung Ho,Patti Smith,2000,2000
,Lo and Beholden,Gung Ho,Patti Smith,2000,2000
,Boy Cried Wolf,Gung Ho,Patti Smith,2000,2000
,Persuasion,Gung Ho,Patti Smith,2000,2000
,Gone Pie,Gung Ho,Patti Smith,2000,2000
,China Bird,Gung Ho,Patti Smith,2000,2000
,Glitter In Their Eyes,Gung Ho,Patti Smith,2000,2000
,Strange Messengers,Gung Ho,Patti Smith,2000,2000
,Grateful,Gung Ho,Patti Smith,2000,2000
,Upright Come,Gung Ho,Patti Smith,2000,2000
,New Party,Gung Ho,Patti Smith,2000,2000
,Libbies Song,Gung Ho,Patti Smith,2000,2000
,Gung Ho,Gung Ho,Patti Smith,2000,2000
,People Have the Power,Dream Of Life,Patti Smith,1988,1988
,Up There Down There,Dream Of Life,Patti Smith,1988,1988
,Paths That Cross,Dream Of Life,Patti Smith,1988,1988
,Dream of Life,Dream Of Life,Patti Smith,1988,1988
,Where Duty Calls,Dream Of Life,Patti Smith,1988,1988
,Going Under,Dream Of Life,Patti Smith,1988,1988
,Looking for You (I Was),Dream Of Life,Patti Smith,1988,1988
,The Jackson Song,Dream Of Life,Patti Smith,1988,1988
,As The Night Goes By,Dream Of Life,"Patti Smith, Jay Dee Daugherty, Lenny Kaye",1988,1988
,Wild Leaves,Dream Of Life,Patti Smith,1988,1988
,Partial to the Bitters,Farmers Almanac,Brother Dege,2018,2018-06-01
,Country Come to Town,Farmers Almanac,Brother Dege,2018,2018-06-01
,The Early Morn,Farmers Almanac,Brother Dege,2018,2018-06-01
,The Shakedown,Farmers Almanac,Brother Dege,2018,2018-06-01
,Bastards Blues,Farmers Almanac,Brother Dege,2018,2018-06-01
,The Moon & the Scarecrow,Farmers Almanac,Brother Dege,2018,2018-06-01
,The Ballad of Ingo Swann,Farmers Almanac,Brother Dege,2018,2018-06-01
,Laredo,Farmers Almanac,Brother Dege,2018,2018-06-01
,Whiteboy,Farmers Almanac,Brother Dege,2018,2018-06-01
,No Man a Slave,Farmers Almanac,Brother Dege,2018,2018-06-01
,"Partial to the Bitters, Pt. II",Farmers Almanac,Brother Dege,2018,2018-06-01
,Spider-Man 2 Main Title,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,M.J.s New Life    Spidus Interruptus,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Doc Ock is Born,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Angry Arms    Rebuilding,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,A Phone Call    The Wrong Kiss    Peters Birthday,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,The Bank    Saving May,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,The Mugging    Peters Turmoil,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Doc Ocks Machine,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Hes Back!,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Train    Appreciation,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Aunt May Packs,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Armageddon    A Really Big Web!,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,The Goblin Returns,Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,"At Long Last, Love",Spider-Man 2 Original Motion Picture Score,Danny Elfman,2004,2004-07-27
,Raindrops Keep Falling on My Head,Spider-Man 2 Original Motion Picture Score,B.J. Thomas,2004,2004-07-27
,Goodbye Forever,The Alkaline Trio,Alkaline Trio,2000,2000
,This Is Getting Over You,The Alkaline Trio,Alkaline Trio,2000,2000
,Bleeder,The Alkaline Trio,Alkaline Trio,2000,2000
,I Lied My Face Off,The Alkaline Trio,Alkaline Trio,2000,2000
,My Friend Peter,The Alkaline Trio,Alkaline Trio,2000,2000
,Snake Oil Tanker,The Alkaline Trio,Alkaline Trio,2000,2000
,Southern Rock,The Alkaline Trio,Alkaline Trio,2000,2000
,Cooking Wine,The Alkaline Trio,Alkaline Trio,2000,2000
,For Your Lungs Only,The Alkaline Trio,Alkaline Trio,2000,2000
,Sun Dials,The Alkaline Trio,Alkaline Trio,2000,2000
,Nose Over Tail,The Alkaline Trio,Alkaline Trio,2000,2000
,97,The Alkaline Trio,Alkaline Trio,2000,2000
,Panasonic Youth,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Sunshine the Werewolf,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Highway Robbery,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Van Damsel,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Phone Home,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,We Are the Storm,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Crutch Field Tongs,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Setting Fire to Sleeping Giants,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Babys First Coffin,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Unretrofied,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,The Perfect Design,Miss Machine,The Dillinger Escape Plan,2004,2004-07-20
,Respect the Mustache,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Time for Some,Well Done,"Action Bronson, Statik Selektah, LIL Fame!!!",2011,2011-11-22
,Cocoa Butter,Well Done,"Action Bronson, Statik Selektah, Nina Sky",2011,2011-11-22
,White Silk,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Keep off the Grass,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,The Stick Up,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Central Bookings,Well Done,"Action Bronson, Statik Selektah, Meyhem Lauren",2011,2011-11-22
,Cirque Du Soleil,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,The Rainmaker,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Love Letter,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Not Enough Words,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Terror Death Camp,Well Done,"Action Bronson, Statik Selektah, Meyhem Lauren, Maffew Ragazino, AG Da Coroner",2011,2011-11-22
,Miss Fordham Road (86 87 88),Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Cliff Notes,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Bon Voyage,Well Done,"Action Bronson, Statik Selektah",2011,2011-11-22
,Llévame al Cielo,Kleptograss,Eric Thompson,2010,2010-08-01
,Louisiana Blues,Kleptograss,Eric Thompson,2010,2010-08-01
,Wayne Perry,Kleptograss,Eric Thompson,2010,2010-08-01
,La Arboleda,Kleptograss,Eric Thompson,2010,2010-08-01
,Vipers Dream,Kleptograss,Eric Thompson,2010,2010-08-01
,Madili,Kleptograss,Eric Thompson,2010,2010-08-01
,Juramento  La Calandria,Kleptograss,Eric Thompson,2010,2010-08-01
,Jíbaro Hoedown,Kleptograss,Eric Thompson,2010,2010-08-01
,Catnip,Kleptograss,Eric Thompson,2010,2010-08-01
,Juarez,Kleptograss,Eric Thompson,2010,2010-08-01
,Crapaud,Kleptograss,Eric Thompson,2010,2010-08-01
,Impressionists Two-Step,Kleptograss,Eric Thompson,2010,2010-08-01
,Llévame al Cielo,Kleptograss,Eric Thompson,2010,2010-08-01
,Di Mama Iz Gegangen (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Call of the Cossacks (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Mahalageasca (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Tetris (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Le Chajem Rebbe (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Grahams Vision (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Fun Tashlikh and Viima (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,My Arrangement of Another Jewish Piece (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Battle Riddim (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,The Darkness (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Music for Jewish Usage (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Bublitchki (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,From Budapest With Love (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Germaines Scary Dream (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Tatooine Bar Music (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,The Wine Song (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Money Boney (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Pirates (Live),Live At the Arts Centre,Moriah,2012,2012-04-01
,Astral,Astral,Ellen Allien,2004,2004-04-05
,Bangbang,Astral,Ellen Allien,2004,2004-04-05
,Strobo Me,Astral,Ellen Allien,2004,2004-04-05
,Americano,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Counterclockwise,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,I Dont Need Another Thrill,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Switchblade,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Leaky Little Boat,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,God Gave Me a Gun,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Loco To Stay Sane,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Mexican Moonshine,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Your Name on a Grain of Rice,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,"Love, Come Lighten My Load",Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Leave an Open Door,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,A Little Hungover You,Americano,Roger Clyne & The Peacemakers,2004,2004-04-20
,Salvaje,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Bucate,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Hello,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Whip It,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Bote De Carrera,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,M30,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Ha Ha Ha,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Mmguebo,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Guaro,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Bregalo,Que Vivan Lo Tiger,Tali Goya,2017,2017-12-09
,Gently Johnny,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,So Uncool,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Innocence Sleeping,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Banks of the Nile,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Simple Lyric,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,No More Words,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Too Late,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,The Trees They Do Go Grow High,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Greenwood Laddie,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Timeless,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Handful of Ashes,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Farewell to Music,A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Gently Johnny (Extended),A Distant Bell,Caroline Lavelle,2004,2004-01-01
,Aneurysm,Blessings of the Highest Order,Thou,2020,2020-06-05
,Dive,Blessings of the Highest Order,Thou,2020,2020-06-05
,Stain,Blessings of the Highest Order,Thou,2020,2020-06-05
,Sifting,Blessings of the Highest Order,Thou,2020,2020-06-05
,Blew,Blessings of the Highest Order,Thou,2020,2020-06-05
,Floyd the Barber,Blessings of the Highest Order,Thou,2020,2020-06-05
,School,Blessings of the Highest Order,Thou,2020,2020-06-05
,Milk It,Blessings of the Highest Order,Thou,2020,2020-06-05
,Scentless Apprentice,Blessings of the Highest Order,Thou,2020,2020-06-05
,I Hate Myself and I Want to Die,Blessings of the Highest Order,Thou,2020,2020-06-05
,Territorial Pissings,Blessings of the Highest Order,Thou,2020,2020-06-05
,Endless Nameless,Blessings of the Highest Order,Thou,2020,2020-06-05
,Even in His Youth,Blessings of the Highest Order,Thou,2020,2020-06-05
,In Bloom,Blessings of the Highest Order,Thou,2020,2020-06-05
,Something in the Way,Blessings of the Highest Order,Thou,2020,2020-06-05
,My Girl,Blessings of the Highest Order,Thou,2020,2020-06-05
,Track 1,"Duo: Wesleyan, 1994","Abraham Adzinyah, Anthony Braxton",2006,2006-04-25
,Track 2,"Duo: Wesleyan, 1994","Abraham Adzinyah, Anthony Braxton",2006,2006-04-25
,So Cruel,People in My Brain,Eddoe Smigs,2017,2017-11-20
,Trippin,People in My Brain,Eddoe Smigs,2017,2017-11-20
,People in My Brain,People in My Brain,Eddoe Smigs,2017,2017-11-20
,Bad Side,People in My Brain,Eddoe Smigs,2017,2017-11-20
,In Your Eyes,People in My Brain,Eddoe Smigs,2017,2017-11-20
,Blue Monk,Blue Monk,"Aki Takase, David Murray",1993,1993
,Ask Me Now,Blue Monk,"Aki Takase, David Murray",1993,1993
,Presto V.H.,Blue Monk,"Aki Takase, David Murray",1993,1993
,Body & Soul,Blue Monk,"Aki Takase, David Murray",1993,1993
,Ellingtonia,Blue Monk,"Aki Takase, David Murray",1993,1993
,Bright Missisippi,Blue Monk,"Aki Takase, David Murray",1993,1993
,Ba-Lue Bolivar Ba-Lues,Blue Monk,"Aki Takase, David Murray",1993,1993
,Mr. Jelly Roll,Blue Monk,"Aki Takase, David Murray",1993,1993
,Kaiso,Blue Monk,"Aki Takase, David Murray",1993,1993
,Ballad for the Blackman,Blue Monk,"Aki Takase, David Murray",1993,1993
,Prophet of Doom,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Crucify,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Bad Reputation,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Catch 22,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Masquerade,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Molto Arpeggiosa,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Miracle of Life,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,The Wizard,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Preludium,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Wild One,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Tarot,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Instrumental Institution,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,War to End All Wars,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,Black Sheep of the Family,War to End All Wars,Yngwie Malmsteen,2000,2000-11-21
,"Something Bigger, Something Brighter",The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,The Grandmother Wolf,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,Mr. Club,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,All Medicated Geniuses,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,Blue Lights,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,"Chemical, Chemical",The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,7,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,The Teeth Collector,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,Holy Names,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,The New Romance,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,This Is Our Emergency,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,A Certain Cemetery,The New Romance,Pretty Girls Make Graves,2003,2003-09-09
,Intro,Gehen,Swod,2004,2004-08-23
,Fugitif 1,Gehen,Swod,2004,2004-08-23
,Nein,Gehen,Swod,2004,2004-08-23
,Gehen,Gehen,Swod,2004,2004-08-23
,Fugitif 2,Gehen,Swod,2004,2004-08-23
,Attends,Gehen,Swod,2004,2004-08-23
,Tucholskystr. 34,Gehen,Swod,2004,2004-08-23
,I Think He Was A Journalist,Gehen,Swod,2004,2004-08-23
